year;Country;player_id;player_name;Kicker_Foot;Kicker_Side;Goalie_Side;Outcome;goalkeer_name;goalkeeper_id;Home_Goals;Away_Goals;Minute;Team_Type;del1;del2;del3;del4
22/23;Italy ;129;Francesco Caputo;R;L;L;1;Wojciech Szczesny;87;0;0;18;H;;;;
22/23;Italy ;98;Olivier Giroud;L;L;R;1;Nicola Ravaglia;84;2;1;29;H;;;;
22/23;Italy ;114;Domenico Berardi;L;R;L;1;Michele Di Gregorio;85;0;0;45;H;;;;
22/23;Italy ;99;Ciro Immobile;R;R;L;1;Marco Silvestri;64;0;0;61;A;;;;
22/23;Italy ;134;Lorenzo Colombo;L;C;R;1;Michele Di Gregorio;85;0;0;90;A;;;;
22/23;Italy ;135;Cristian Buonaiuto;R;R;L;1;Guillermo Ochoa;18;0;0;26;H;;;;
22/23;Italy ;98;Olivier Giroud;L;L;R;1;Lorenzo Montipò;88;0;0;45;H;;;;
22/23;Italy ;133;Victor Osimhen;R;R;R;1;Martin Turk;89;0;0;64;H;;;;
22/23;Italy ;114;Domenico Berardi;L;L;R;1;Michele Cerofolini;90;0;1;71;H;;;;
22/23;Italy ;104;Paulo Dybala;L;L;L;1;Jeroen Zoet;91;1;1;90;H;;;;
22/23;Italy;114;Domenico Berardi;L;L;L;0;Mike Maignan;72;0;0;23;H;;;;
22/23;Italy;134;Lorenzo Colombo;L;R;R;0;Alex Meret;76;0;0;25;A;;;;
22/23;Italy;136;Luka Jovic;R;L;L;0;Mattia Perin;69;1;1;44;A;;;;
22/23;Italy;106;Lorenzo Pellegrini;R;L;L;0;Vicario;36;1;2;80;A;;;;
22/23;Italy;137;Leonardo Bonucci;R;L;L;0;Luigi Sepe;68;2;2;90;H;;;;
22/23;Italy;138;Cristiano Biraghi;L;R;R;0;Lorenzo Montipò;88;1;0;26;H;;;;
22/23;Italy;99;Ciro Immobile;R;L;L;0;Bartlomiej Dragowski;81;0;0;3;H;;;;
22/23;Italy;139;Cyriel Dessers;R;R;R;0;Emil Audero;70;0;0;7;H;;;;
22/23;Italy;96;Teun Koopmeiners;L;C;L;0;Vicario;36;0;1;42;A;;;;
22/23;Italy;101;Daniel Ciofani;R;C;C;0;Luigi Sepe;68;2;2;89;A;;;;
22/23;Italy;140;Andrea Belotti;R;C;R;0;Vanja Milinkovič-Savič;67;0;1;90;H;;;;
22/23;Italy;100;Matteo Politano;L;R;R;0;Emil Audero;70;0;0;6;A;;;;
22/23;Italy;96;Teun Koopmeiners;L;R;R;0;Guillermo Ochoa;18;3;1;38;H;;;;
22/23;Italy;124;Daniele Verde;L;R;R;0;Vicario;36;0;0;22;A;;;;
22/23;Italy;127;Abdelhamid Sabiri;R;R;R;0;Lukasz Skorupski;75;1;1;71;H;;;;
22/23;Italy;120;Luis Alberto;R;L;L;0;Luigi Sepe;68;0;2;90;A;;;;
22/23;Italy;107;Lautaro Martínez;R;R;R;0;Bartlomiej Dragowski;81;0;0;14;A;;;;
22/23;Italy;94;Dušan Vlahović;L;L;R;0;Martin Turk;89;3;2;69;H;;;;
22/23;Italy;141;Bryan Cristante;R;R;L;0;Marco Silvestri;64;1;0;37;H;;;;
22/23;Italy;142;Roberto Pereyra;R;L;L;0;Rui Patrício;82;2;0;69;A;;;;
22/23;Italy;143;Arkadiusz Milik;L;L;L;0;Lukasz Skorupski;75;1;1;31;H;;;;
22/23;Italy;133;Victor Osimhen;R;R;R;0;Pietro Terracciano;74;1;0;48;H;;;;
22/23;Italy;103;Gabriel Strefezza;R;L;L;0;Ivan Provedel;92;2;2;23;A;;;;
22/23;Italy;144;Christian Gytkjær;R;L;L;0;Wladimiro Falcone;73;0;1;84;H;;;;
20/21;Italy;128;Zlatan Ibrahimović;R;R;R;1;Lukasz Skorupski;75;1;0;51;H;;;;
20/21;Italy;145;Jordan Veretout;R;L;L;1;Wojciech Szczesny;87;0;0;31;H;;;;
20/21;Italy;146;Cristiano Ronaldo;R;R;L;1;Antonio Mirante;93;1;0;44;A;;;;
20/21;Italy;147;Franck Kessié;R;L;R;1;Alex Cordaz;94;0;0;45;A;;;;
20/21;Italy;114;Domenico Berardi;L;C;R;1;Jeroen Zoet;91;1;1;64;A;;;;
20/21;Italy;148;Fabio Quagliarella;R;L;C;1;Bartlomiej Dragowski;81;0;0;42;A;;;;
20/21;Italy;149;Simy;R;L;R;1;Andrea Consigli;66;1;0;49;A;;;;
20/21;Italy;129;Francesco Caputo;R;R;R;1;Alex Cordaz;94;1;1;58;H;;;;
20/21;Italy;150;Lorenzo Insigne;R;L;R;1;Gianluigi Buffon;95;2;0;90;A;;;;
20/21;Italy;140;Andrea Belotti;R;L;R;1;Alessio Cragno;96;0;0;4;H;;;;
20/21;Italy;149;Simy;R;R;L;1;Gianluigi Buffon;95;0;0;12;H;;;;
20/21;Italy;145;Jordan Veretout;R;L;R;1;Lorenzo Montipò;88;2;2;69;H;;;;
20/21;Italy;145;Jordan Veretout;R;L;L;1;Ciprian Tătărușanu;80;2;1;71;A;;;;
20/21;Italy;128;Zlatan Ibrahimović;R;L;R;1;Antonio Mirante;93;2;2;79;H;;;;
20/21;Italy;151;Duván Zapata;R;R;L;1;Emil Audero;70;0;2;80;H;;;;
20/21;Italy;152;Juraj Kucka;R;R;L;1;Ivan Provedel;92;1;2;90;H;;;;
20/21;Italy;140;Andrea Belotti;R;C;L;1;Pepe Reina;97;1;1;24;H;;;;
20/21;Italy;153;Rodrigo De Paul;R;L;L;1;Gianluigi Donnarumma;98;0;1;48;H;;;;
20/21;Italy;154;Manuel Locatelli;R;L;R;1;David Ospina;99;0;0;59;A;;;;
20/21;Italy;146;Cristiano Ronaldo;R;C;R;1;Ivan Provedel;92;1;3;76;A;;;;
20/21;Italy;99;Ciro Immobile;R;L;R;1;Salvatore Sirigu;100;3;2;90;A;;;;
20/21;Italy;48;João Pedro;R;L;L;1;Emil Audero;70;0;0;48;H;;;;
20/21;Italy;155;Cristian Ansaldi;L;R;R;1;Samir Handanovič;83;0;1;62;A;;;;
20/21;Italy;125;Romelu Lukaku;L;R;L;1;Salvatore Sirigu;100;2;2;84;H;;;;
20/21;Italy;147;Franck Kessié;R;L;R;1;Bartlomiej Dragowski;81;1;0;28;H;;;;
20/21;Italy;156;Miguel Veloso;L;R;L;1;Pierluigi Gollini;101;0;0;62;A;;;;
20/21;Italy;99;Ciro Immobile;R;L;L;1;Juan Musso;79;0;3;74;H;;;;
20/21;Italy;95;M'Bala Nzola;R;L;R;1;Alessio Cragno;96;2;1;90;A;;;;
20/21;Italy;147;Franck Kessié;R;C;R;1;Emil Audero;70;0;0;45;A;;;;
20/21;Italy;114;Domenico Berardi;L;R;L;1;Lorenzo Montipò;88;0;0;8;H;;;;
20/21;Italy;146;Cristiano Ronaldo;R;L;R;1;Mattia Perin;69;1;1;78;A;;;;
20/21;Italy;146;Cristiano Ronaldo;R;L;R;1;Mattia Perin;69;1;2;89;A;;;;
20/21;Italy;94;Dušan Vlahović;L;L;R;1;Andrea Consigli;66;0;1;35;H;;;;
20/21;Italy;145;Jordan Veretout;R;R;R;1;Vanja Milinkovič-Savič;67;1;0;43;H;;;;
20/21;Italy;118;Mattia Zaccagni;R;L;R;1;Emil Audero;70;0;2;70;H;;;;
20/21;Italy;125;Romelu Lukaku;L;L;R;1;David Ospina;99;0;0;73;H;;;;
20/21;Italy;156;Miguel Veloso;L;R;L;1;Bartlomiej Dragowski;81;0;0;8;A;;;;
20/21;Italy;94;Dušan Vlahović;L;L;R;1;Marco Silvestri;64;0;1;19;H;;;;
20/21;Italy;149;Simy;R;R;R;1;Emil Audero;70;2;0;45;A;;;;
20/21;Italy;125;Romelu Lukaku;L;R;L;1;Ivan Provedel;92;1;0;71;H;;;;
20/21;Italy;157;Marco Sal;R;R;L;1;Mattia Perin;69;1;0;89;H;;;;
20/21;Italy;111;Hakan Çalhanoğlu;R;R;L;1;Pepe Reina;97;1;0;17;H;;;;
20/21;Italy;105;Luis Muriel;R;L;R;1;Angelo da Costa;102;0;0;22;A;;;;
20/21;Italy;158;Domenico Criscito;L;L;L;1;Ivan Provedel;92;1;1;73;A;;;;
20/21;Italy;48;João Pedro;R;L;L;1;Antonio Mirante;93;3;1;90;A;;;;
20/21;Italy;147;Franck Kessié;R;L;R;1;Lorenzo Montipò;88;0;0;15;A;;;;
20/21;Italy;99;Ciro Immobile;R;R;L;1;Mattia Perin;69;0;0;15;A;;;;
20/21;Italy;159;Vladimir Golemić;R;R;R;1;Samir Handanovič;83;2;1;36;A;;;;
20/21;Italy;150;Lorenzo Insigne;R;L;L;1;Alessio Cragno;96;1;3;86;A;;;;
20/21;Italy;160;Antonio Candreva;R;L;R;1;Samir Handanovič;83;0;0;23;H;;;;
20/21;Italy;161;Henrikh Mkhitaryan;R;L;L;1;Alex Cordaz;94;0;2;35;A;;;;
20/21;Italy;95;M'Bala Nzola;L;R;L;1;David Ospina;99;1;0;68;A;;;;
20/21;Italy;94;Dušan Vlahović;L;R;R;1;Thomas Strakosha;103;2;0;88;A;;;;
20/21;Italy;150;Lorenzo Insigne;R;L;L;1;Juan Musso;79;0;0;15;A;;;;
20/21;Italy;147;Franck Kessié;R;R;L;1;Salvatore Sirigu;100;1;0;36;H;;;;
20/21;Italy;95;M'Bala Nzola;L;R;L;1;Emil Audero;70;1;1;61;H;;;;
20/21;Italy;128;Zlatan Ibrahimović;R;L;R;1;Alessio Cragno;96;0;0;7;A;;;;
20/21;Italy;122;Riccardo Orsolini;L;R;L;1;Marco Silvestri;64;0;0;18;H;;;;
20/21;Italy;160;Antonio Candreva;R;C;L;1;Juan Musso;79;0;1;67;H;;;;
20/21;Italy;150;Lorenzo Insigne;R;R;R;1;Bartlomiej Dragowski;81;4;0;72;H;;;;
20/21;Italy;162;Filip Djuričić;R;R;L;1;Luigi Sepe;68;0;1;90;H;;;;
20/21;Italy;163;Nicolas Viola;L;R;L;1;Salvatore Sirigu;100;0;0;31;H;;;;
20/21;Italy;164;Josip Iličić;L;R;R;1;Gianluigi Donnarumma;98;0;1;53;A;;;;
20/21;Italy;153;Rodrigo De Paul;R;L;R;1;Ivan Provedel;92;0;0;52;A;;;;
20/21;Italy;147;Franck Kessié;R;R;C;1;Lukasz Skorupski;75;0;1;55;A;;;;
20/21;Italy;152;Juraj Kucka;R;L;L;1;Marco Silvestri;64;0;0;8;A;;;;
20/21;Italy;125;Romelu Lukaku;L;L;R;1;Pepe Reina;97;0;0;22;H;;;;
20/21;Italy;145;Jordan Veretout;R;R;L;1;Juan Musso;79;1;0;25;H;;;;
20/21;Italy;150;Lorenzo Insigne;R;L;R;1;Wojciech Szczesny;87;0;0;31;H;;;;
20/21;Italy;129;Francesco Caputo;R;L;L;1;Alex Cordaz;94;1;1;49;A;;;;
20/21;Italy;152;Juraj Kucka;R;L;L;1;Juan Musso;79;1;0;32;H;;;;
20/21;Italy;147;Franck Kessié;R;R;R;1;Pau López;104;0;0;42;A;;;;
20/21;Italy;48;João Pedro;R;L;L;1;Alex Cordaz;94;0;1;60;A;;;;
20/21;Italy;114;Domenico Berardi;L;C;R;1;Alex Meret;76;1;1;45;H;;;;
20/21;Italy;150;Lorenzo Insigne;R;L;R;1;Andrea Consigli;66;2;2;90;A;;;;
20/21;Italy;129;Francesco Caputo;R;R;R;1;Alex Meret;76;2;3;90;H;;;;
20/21;Italy;147;Franck Kessié;R;R;L;1;Juan Musso;79;0;1;90;H;;;;
20/21;Italy;149;Simy;R;L;R;1;Salvatore Sirigu;100;0;0;27;H;;;;
20/21;Italy;152;Juraj Kucka;R;L;L;1;Bartlomiej Dragowski;81;1;0;32;A;;;;
20/21;Italy;165;Álvaro Morata;R;R;R;1;Pepe Reina;97;2;1;60;H;;;;
20/21;Italy;146;Cristiano Ronaldo;R;L;L;1;Alessio Cragno;96;0;1;25;A;;;;
20/21;Italy;153;Rodrigo De Paul;R;C;R;1;Mattia Perin;69;1;0;30;A;;;;
20/21;Italy;149;Simy;R;L;R;1;Pepe Reina;97;2;1;50;A;;;;
20/21;Italy;166;Hernani;R;R;L;1;Pau López;104;1;0;55;H;;;;
20/21;Italy;125;Romelu Lukaku;L;R;L;1;Salvatore Sirigu;100;0;0;62;A;;;;
20/21;Italy;167;Ruslan Malinovskyi;L;L;R;1;Marco Silvestri;64;0;0;33;A;;;;
20/21;Italy;149;Simy;R;R;L;1;Lukasz Skorupski;75;1;0;40;H;;;;
20/21;Italy;106;Lorenzo Pellegrini;R;L;R;1;Andrea Consigli;66;0;0;26;A;;;;
20/21;Italy;168;Felipe Caicedo;L;L;R;1;Jeroen Zoet;91;1;1;88;H;;;;
20/21;Italy;140;Andrea Belotti;R;C;R;1;Juan Musso;79;0;0;61;A;;;;
20/21;Italy;164;Josip Iličić;L;C;R;1;Bartlomiej Dragowski;81;2;2;70;A;;;;
20/21;Italy;122;Riccardo Orsolini;L;L;L;1;Ivan Provedel;92;0;0;12;H;;;;
20/21;Italy;169;Joaquín Correa;R;R;L;1;Lorenzo Montipò;88;2;0;36;H;;;;
20/21;Italy;114;Domenico Berardi;L;L;L;1;Bartlomiej Dragowski;81;0;1;59;H;;;;
20/21;Italy;163;Nicolas Viola;L;R;L;1;Pepe Reina;97;4;1;62;A;;;;
20/21;Italy;114;Domenico Berardi;L;L;R;1;Bartlomiej Dragowski;81;1;1;62;H;;;;
20/21;Italy;149;Simy;R;C;L;1;Juan Musso;79;0;1;68;H;;;;
20/21;Italy;170;Manolo Gabbiadini;L;L;R;1;Marco Silvestri;64;1;1;73;H;;;;
20/21;Italy;163;Nicolas Viola;L;L;R;1;Mattia Perin;69;0;0;5;A;;;;
20/21;Italy;150;Lorenzo Insigne;R;L;R;1;Pepe Reina;97;0;0;7;H;;;;
20/21;Italy;94;Dušan Vlahović;L;L;L;1;Marco Silvestri;64;0;0;45;A;;;;
20/21;Italy;48;João Pedro;R;L;L;1;Juan Musso;79;0;0;55;A;;;;
20/21;Italy;94;Dušan Vlahović;L;C;R;1;Wojciech Szczesny;87;0;0;29;H;;;;
20/21;Italy;163;Nicolas Viola;L;L;R;1;Juan Musso;79;0;2;34;H;;;;
20/21;Italy;105;Luis Muriel;R;R;C;1;Lukasz Skorupski;75;1;0;44;H;;;;
20/21;Italy;149;Simy;R;L;R;1;Simone Colombi;105;3;3;69;A;;;;
20/21;Italy;94;Dušan Vlahović;L;R;R;1;Lukasz Skorupski;75;0;0;21;A;;;;
20/21;Italy;99;Ciro Immobile;R;L;R;1;Mattia Perin;69;1;0;43;H;;;;
20/21;Italy;114;Domenico Berardi;L;R;C;1;Pierluigi Gollini;101;0;1;52;H;;;;
20/21;Italy;171;Gianluca Scamacca;R;C;L;1;Pepe Reina;97;4;1;80;A;;;;
20/21;Italy;146;Cristiano Ronaldo;R;L;L;1;Simone Scuffet;106;1;0;83;A;;;;
20/21;Italy;107;Lautaro Martínez;R;R;R;1;Emil Audero;70;4;1;70;H;;;;
20/21;Italy;122;Riccardo Orsolini;L;R;R;1;Juan Musso;79;1;0;82;A;;;;
20/21;Italy;147;Franck Kessié;R;R;L;1;Salvatore Sirigu;100;0;1;26;A;;;;
20/21;Italy;171;Gianluca Scamacca;R;R;L;1;Federico Ravaglia;107;0;1;61;A;;;;
20/21;Italy;154;Manuel Locatelli;R;R;L;1;Luigi Sepe;68;0;0;25;A;;;;
20/21;Italy;125;Romelu Lukaku;L;L;R;1;Wojciech Szczesny;87;1;0;38;A;;;;
20/21;Italy;95;M'Bala Nzola;L;R;L;1;Salvatore Sirigu;100;1;0;41;H;;;;
20/21;Italy;140;Andrea Belotti;R;R;L;1;Jeroen Zoet;91;2;0;54;A;;;;
20/21;Italy;172;Goran Pandev;L;R;L;1;Pierluigi Gollini;101;1;4;67;H;;;;
20/21;Italy;173;Juan Cuadrado;R;L;C;1;Samir Handanovič;83;2;2;88;H;;;;
20/21;Italy;148;Fabio Quagliarella;R;R;L;1;Juan Musso;79;0;0;88;A;;;;
20/21;Italy;147;Franck Kessié;R;L;C;1;Pierluigi Gollini;101;0;0;43;A;;;;
20/21;Italy;107;Lautaro Martínez;R;L;L;1;Juan Musso;79;2;0;55;H;;;;
20/21;Italy;114;Domenico Berardi;L;R;L;1;Thomas Strakosha;103;1;0;78;H;;;;
20/21;Italy;142;Roberto Pereyra;L;L;R;1;Samir Handanovič;83;5;0;79;A;;;;
20/21;Italy;147;Franck Kessié;R;R;L;1;Pierluigi Gollini;101;0;1;90;A;;;;
20/21;Italy;128;Zlatan Ibrahimović;R;L;L;0;Samir Handanovič;83;0;0;13;A;;;;
20/21;Italy;174;Gianluca Lapadula;R;L;L;0;Antonio Mirante;93;2;1;55;A;;;;
20/21;Italy;148;Fabio Quagliarella;R;L;L;0;Marco Sportiello;86;0;1;45;A;;;;
20/21;Italy;128;Zlatan Ibrahimović;R;L;L;0;Marco Silvestri;64;1;2;66;H;;;;
20/21;Italy;147;Franck Kessié;R;R;R;0;Bartlomiej Dragowski;81;2;0;38;H;;;;
20/21;Italy;146;Cristiano Ronaldo;R;R;R;0;Pierluigi Gollini;101;1;1;61;H;;;;
20/21;Italy;175;Musa Barrow;R;R;R;0;Ivan Provedel;92;2;2;90;A;;;;
20/21;Italy;99;Ciro Immobile;R;L;L;0;Gianluigi Donnarumma;98;2;0;27;A;;;;
20/21;Italy;117;Gianluca Caprari;R;L;R;0;Gianluigi Donnarumma;98;0;2;61;H;;;;
20/21;Italy;176;Alexis Sánchez;R;L;L;0;Emil Audero;70;0;0;12;A;;;;
20/21;Italy;48;João Pedro;R;R;R;0;Bartlomiej Dragowski;81;0;0;37;A;;;;
20/21;Italy;128;Zlatan Ibrahimović;R;L;L;0;Lukasz Skorupski;75;0;1;26;A;;;;
20/21;Italy;140;Andrea Belotti;R;L;L;0;Pierluigi Gollini;101;3;0;42;A;;;;
20/21;Italy;99;Ciro Immobile;R;R;R;0;Lukasz Skorupski;75;0;0;17;A;;;;
20/21;Italy;99;Ciro Immobile;R;L;L;0;Salvatore Sirigu;100;0;0;84;H;;;;
20/21;Italy;177;Andrey Galabinov;R;R;R;0;Wojciech Szczesny;87;3;0;90;A;;;;
20/21;Italy;99;Ciro Immobile;R;L;L;0;Lorenzo Montipò;88;4;1;55;H;;;;
20/21;Italy;178;Edin Džeko;R;R;R;0;Emil Audero;70;2;0;71;A;;;;
20/21;Italy;105;Luis Muriel;R;C;L;0;Andrea Consigli;66;1;1;77;A;;;;
20/21;Italy;147;Franck Kessié;R;R;R;0;Wojciech Szczesny;87;0;1;58;A;;;;
20/21;Italy;114;Domenico Berardi;L;R;R;0;Gianluigi Buffon;95;0;0;16;H;;;;
20/21;Italy;146;Cristiano Ronaldo;R;L;L;0;Samir Handanovič;83;1;0;24;H;;;;
20/21;Italy;150;Lorenzo Insigne;R;L;L;0;Pietro Terracciano;74;0;0;56;A;;;;
23/24;Portugal;9;Ángel Di María;L;L;L;0;Hugo Souza;108;0;0;26;H;;;;
23/24;Portugal;179;Fellipe Cardoso;R;R;R;0;Trublin;109;1;0;54;A;;;;
23/24;Portugal;31;Samu;L;L;L;0;Luiz Júnior;110;0;0;49;H;;;;
23/24;Portugal;180;Cristo;R;R;R;0;João Gonçalves;111;0;0;24;H;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
